street,title,type,size,price,current_datetime
"Nákovná, Bratislava II - Podunajské Biskupice, okres Bratislava","VYMEŇ SUSEDA! – VEĽKORYSÝ RODINNÝ DOM 247M2, BA II. PODUNAJSKÉ BISKUPICE, 10 ÁROVÝ POZEMOK",Rodinný dom,247 m²,410 000 €,2024-07-11_05-23-57
"Nad Vinohradmi, Bratislava IV - Devínska Nová Ves, okres Bratislava","VYMEŇ SUSEDA! – VEĽKORYSÁ ROZLOHA A VÝNIMOČNÁ POLOHA RODINNÝ DOM 164M2 DEVÍNSKA NOVÁ VES, BRATISLAVA",Rodinný dom,"163,81 m²",284 990 €,2024-07-11_05-23-57
"Na Kalvárii, Bratislava I - Staré Mesto, okres Bratislava","Dvojpodlažný rodinný dom, 200 m2, záhrada, garáž, pozemok 395 m2",Rodinný dom,200 m²,Cena dohodou,2024-07-11_05-23-57
"Záhradnícka, Bratislava II - Ružinov, okres Bratislava",NA PREDAJ PRÉMIOVÉ KANCELÁRSKE PRIESTORY V ŠIRŠOM CENTRE MESTA NA ZNÁMEJ ADRESE V PROJEKTE GLÓRIA –,"Kancelárie, admin. priestory","454,93 m²",1 290 000 €,2024-07-11_05-23-57
"Kresánkova, Bratislava IV - Karlova Ves, okres Bratislava","PREDAJ: 2 izbový byt, 83 m2, NOVOSTAVBA, Kresánkova 7/B - Bratislava",2 izbový byt,"83,1 m²",199 900 €,2024-07-11_05-23-57
"Centrálna, Bratislava II - Ružinov, okres Bratislava",BOSEN |Priestor na podnikanie v Miloslavove,Objekt pre obchod,358 m²,499 000 €,2024-07-11_05-23-57
"Jarovecke rameno, Bratislava V - Jarovce, okres Bratislava","Neibrs | Exkluzívne na predaj 5i luxusný a nízkoenergetický hausboat na celoročné bývanie, 250m2, te",Rodinný dom,250 m²,890 000 €,2024-07-11_05-23-57
"Frankovská, Bratislava III - Nové Mesto, okres Bratislava",Garážové státie s kobkou GRAND KOLIBA,Garáž,20 m²,28 500 €,2024-07-11_05-23-57
"Wolkrova, Bratislava V - Petržalka, okres Bratislava",Dizajnový kompletne zrekonštruovaný 3-izbový byt,3 izbový byt,,257 900 €,2024-07-11_05-23-57
"Vajnorská, Bratislava III - Nové Mesto, okres Bratislava","Slnečný 3i byt, 72,91 m2, balkón, parking, pivnica, ICT VAJNORSKÁ",3 izbový byt,73 m²,Cena dohodou,2024-07-11_05-23-57
"Majerníkova, Bratislava IV - Karlova Ves, okres Bratislava","PREDAJ -  Obchodné priestory 115m2 – obchod, zdravotnícke zariadenie, salón,služby, bývanie - BA IV.",Obchodné priestory,115 m²,199 000 €,2024-07-11_05-23-57
"Sv. Vincenta, Bratislava II - Ružinov, okres Bratislava","Výnimočný obchodný priestor, v srdci Ružinova",Obchodné priestory,445 m²,850 000 €,2024-07-11_05-23-57
"Uhliská, Bratislava III - Vajnory, okres Bratislava",/3D/ NA PREDAJ NOVOSTAVBA 4-IZBOVÉHO RODINNÉHO DOMU SO ZÁHRADOU VO VAJNOROCH V PROJEKTE NOVÉ ŠUTY –,Rodinný dom,"122,63 m²",375 000 €,2024-07-11_05-23-57
"Líščie údolie, Bratislava IV - Karlova Ves, okres Bratislava","RODINNÝ DOM, BA-KARLOVA VES, Líščie údolie",Rodinný dom,160 m²,889 000 €,2024-07-11_05-23-57
"Matičná, Bratislava III - Nové Mesto, okres Bratislava","Neibrs | 5 izb RD, 430m2 záhrada, podkrovie, krajný pozemok",Rodinný dom,234 m²,Cena dohodou,2024-07-11_05-23-57
"Závadská, Bratislava III - Rača, okres Bratislava","HERRYS - Na predaj útulný 2-izbový byt po kompletnej rekonštrukcii, Rača",2 izbový byt,"52,96 m²",175 000 €,2024-07-11_05-23-57
"Vígľašská, Bratislava V - Petržalka, okres Bratislava",HERRYS - Na predaj útulný 2 izbový byt na Vígľašskej ulici v Petržalke,2 izbový byt,"36,24 m²",140 000 €,2024-07-11_05-23-57
"Nábrežie arm.gen.Ludvíka Svobodu, Bratislava I - Staré Mesto, okres Bratislava",HERRYS - PREDAJ 3 izbový byt s lodžiou a výhľadom na Dunaj,3 izbový byt,60 m²,255 000 €,2024-07-11_05-23-57
"Pribišova, Bratislava IV - Karlova Ves, okres Bratislava",HERRYS - Na predaj 2 izbový byt s jedinečným výhľadom,2 izbový byt,"47,99 m²",195 000 €,2024-07-11_05-23-57
"Bajkalská, Bratislava III - Nové Mesto, okres Bratislava",HERRYS - Na predaj útulný 2 izbový byt v projekte III Veže s výhľadom na zeleň,2 izbový byt,"53,49 m²",210 000 €,2024-07-11_05-23-57
"Budatínska, Bratislava V - Petržalka, okres Bratislava",HERRYS - Na predaj slnečný 2 izbový byt s veľkou loggiou a parkovaním v cene,2 izbový byt,"68,3 m²",230 000 €,2024-07-11_05-23-57
"Dvořákovo nábrežie, Bratislava I - Staré Mesto, okres Bratislava",HERRYS - Na predaj jedinečný luxusný 4izbový byt s dvoma priestrannými terasami s výhľadom na Dunaj,4 izbový byt,"193,43 m²",Cena dohodou,2024-07-11_05-23-57
"Landererova, Bratislava I - Staré Mesto, okres Bratislava",HERRYS - Na predaj 3 izbový byt v luxusnom projekte Panorama city pri Dunaji,3 izbový byt,"75,6 m²",425 000 €,2024-07-11_05-23-57
"Šándorova, Bratislava II - Ružinov, okres Bratislava",HERRYS - Na predaj priestranný 2 izbový byt s loggiou a balkónom v zelenej lokalite Ružinov - Pošeň,2 izbový byt,"64,67 m²",210 000 €,2024-07-11_05-23-57
"Kopčianska, Bratislava V - Petržalka, okres Bratislava","HERRYS- na predaj rozľahlý 3-izbový apartmán 89,1 m2 v objekte Vienna Gate na začiatku Petržalky",3 izbový byt,"89,1 m²",280 000 €,2024-07-11_05-23-57
"Štepná, Bratislava IV - Dúbravka, okres Bratislava","HERRYS, Predaj dvoch nadčasových 4 izbových rodinných domov v príjemnom prostredí zelene na Štepnej",Rodinný dom,120 m²,650 000 €,2024-07-11_05-23-57
"Sovia, Bratislava III - Nové Mesto, okres Bratislava",HERRYS - Na predaj pozemky na Kolibe za jedinečnú cenu. (400 - 505 m2),Rekreačný pozemok,400 m²,149 000 €,2024-07-11_05-23-57
"Bajkalská, Bratislava II - Ružinov, okres Bratislava",HERRYS - Na predaj 2-izbový apartmán s priestrannou lodžiou a parkingom v projekte Nový Ružinov,2 izbový byt,"60,81 m²",195 000 €,2024-07-11_05-23-57
"Prístavná, Bratislava II - Ružinov, okres Bratislava",HERRYS - Na predaj 1 izbový byt s lodžiou v novostavbe Prístavná 1,1 izbový byt,"49,4 m²",185 000 €,2024-07-11_05-23-57
"Sládkovičova, Bratislava I - Staré Mesto, okres Bratislava",HERRYS - Na predaj výnimočný staromestský 6i byt s vysokými stropmi na Palisádoch-Sládkovičova ulica,5 a viac izbový byt,"187,57 m²",699 000 €,2024-07-11_05-23-57
"Nobelova, Bratislava III - Nové Mesto, okres Bratislava",HERRYS - Na predaj NAJLEPŠÍ zariadený 2 izbový byt s parkovacím státím v novostavbe Nobelova.,2 izbový byt,"62,54 m²",209 000 €,2024-07-11_05-24-05
"Čerešňový sad, Bratislava IV - Záhorská Bystrica, okres Bratislava",HERRYS - Na predaj nadštandardný 7 izbový rodinný dom v atraktívnom projekte Záhorské Sady,Rodinný dom,250 m²,Cena dohodou,2024-07-11_05-24-05
"Vosková, Bratislava III - Nové Mesto, okres Bratislava",HERRYS – Na predaj bezkonkurenčný pozemok s výhľadom na Kolibe v uzavretom areáli,Pozemok pre rod. domy,898 m²,995 €,2024-07-11_05-24-05
"Olbrachtova, Bratislava III - Nové Mesto, okres Bratislava","HERRYS - Na predaj 4 izbový mezonet v nadstavbe - Mierová kolónia, možnosť postúpenia záhrady",4 izbový byt,"113,37 m²",299 000 €,2024-07-11_05-24-05
"Dlhá, Bratislava V - Čunovo, okres Bratislava",HERRYS – Na predaj 4 izbový byt po kompletnej rekonštrukcii v Čunove. NOVÁ CENA !,4 izbový byt,84 m²,170 000 €,2024-07-11_05-24-05
"Štetinova, Bratislava I - Staré Mesto, okres Bratislava","HERRYS- Na predaj veľkometrážny 2-izbový byt so samostatnou kuchyňou na Palisádach, Štetinová ulica",2 izbový byt,74 m²,269 900 €,2024-07-11_05-24-05
"Panónska cesta, Bratislava V - Petržalka, okres Bratislava",HERRYS - na predaj štýlový 3i. byt v novostavbe na Panónskej ceste,3 izbový byt,"81,77 m²",259 000 €,2024-07-11_05-24-05
"Cirokova, Bratislava V - Čunovo, okres Bratislava",Inteligentný rodinný dom v Čunove - Novostavba,Rodinný dom,"221,65 m²",Cena dohodou,2024-07-11_05-24-05
"Jančova, Bratislava I - Staré Mesto, okres Bratislava","Rezidencia Jančova, 350 m2, záhrada, parkovanie, Hradný kopec",Rodinný dom,,Cena dohodou,2024-07-11_05-24-05
"Dlhé diely III., Bratislava IV - Karlova Ves, okres Bratislava",Prenájom 2i bytu v novostavbe s parkovaním,2 izbový byt,64 m²,850 €/mes.,2024-07-11_05-24-05
"Majakovského 7858/8, Bratislava I - Staré Mesto, okres Bratislava",UNIQ lukratívny zariadený byt Horský Park,4 izbový byt,135 m²,3 200 €/mes.,2024-07-11_05-24-05
"Zochova, Bratislava I - Staré Mesto, okres Bratislava",Lukratívny 3-izbový byt v Starom meste so zimnou záhradou,3 izbový byt,82 m²,2 350 €/mes.,2024-07-11_05-24-05
"Slavónska, Bratislava V - Jarovce, okres Bratislava",SKOLAUDOVANÝ BUNGALOV a 4i DVOJPODLAŽNÝ BYT | PEKNÁ ZÓNA | VLASTNÝ POZEMOK | NOVOSTAVBA,Rodinný dom,108 m²,400 000 €,2024-07-11_05-24-05
"Dlhé diely III., Bratislava IV - Karlova Ves, okres Bratislava","Dlhé diely III - Devínska cesta, 841 04 Bratislava",4 izbový byt,219 m²,695 000 €,2024-07-11_05-24-05
"Závadská, Bratislava III - Rača, okres Bratislava",Výborne dispozične riešený 4 izbový byt Závadská ulica -Rača,4 izbový byt,"78,2 m²",239 990 €,2024-07-11_05-24-05
"Vlárska, Bratislava III - Nové Mesto, okres Bratislava","BA III - VLÁRSKA - rodinný dom, 169 M2,  Kramáre - SKVELÁ LOKALITA, GARÁŽ",Rodinný dom,169 m²,1 190 €/mes.,2024-07-11_05-24-05
"Bratislava V - Jarovce, okres Bratislava",DOKONČENÝ HOLODOM - AKCIA NA DOKONČENIE DO ŠTANDARTU - SAMOSTATNÝ 5-izb. RODINNÝ DOM V JAROVCE/KITTS,Rodinný dom,138 m²,Info v RK,2024-07-11_05-24-05
"Kráľovské údolie, Bratislava I - Staré Mesto, okres Bratislava",Na predaj stavebný pozemok 1007 m2 pod Bôrikom v Starom Meste,Pozemok pre rod. domy,1007 m²,755 250 €,2024-07-11_05-24-05
"Strážna, Bratislava III - Nové Mesto, okres Bratislava","PRENÁJOM | 4izbový byt s krbom, 240,29m2, Koliba",4 izbový byt,"163,67 m²",2 500 €/mes.,2024-07-11_05-24-05
"Kopčianska, Bratislava V - Petržalka, okres Bratislava","EXKLUZÍVNY 4 – IZB. BYT VO VIENNA GATE, 125,30 m², LOGGIA, BRATISLAVA - PETRŽALKA, ul., KOPČIANSKA",4 izbový byt,"125,3 m²",499 900 €,2024-07-11_05-24-05
"Karlova Ves, Bratislava IV - Karlova Ves, okres Bratislava",Arvin & Benet | Ideálny pozemok na dom pri lese,Pozemok pre rod. domy,850 m²,370 800 €,2024-07-11_05-24-05
"Učiteľská, Bratislava II - Podunajské Biskupice, okres Bratislava",Novostavba 4-izb. RD so záhradkou v Pod. Biskupiciach,Rodinný dom,114 m²,385 000 €,2024-07-11_05-24-05
"Domové role, Bratislava II - Ružinov, okres Bratislava",RADOVAN VARGA ponúka  rozostavaný 4 izbový celo- podpivničený rodinný dom,Rodinný dom,300 m²,289 990 €,2024-07-11_05-24-05
"Knižkova dolina, Bratislava III - Rača, okres Bratislava",Arvin & Benet | Neobrúsený diamant Rače,"Chmelnica, vinica",3381 m²,676 200 €,2024-07-11_05-24-05
"Mudroňova, Bratislava I - Staré Mesto, okres Bratislava","Neibrs | Veľkometrážny 3 izbový byt s 2 loggiami a výhľadom do zelenej záhrady, Garáž, Mudroňova ul.",3 izbový byt,"105,93 m²",419 000 €,2024-07-11_05-24-05
"Trenčianska, Bratislava II - Ružinov, okres Bratislava","BA Ružinov - KRÁSNY, ZREKONŠTRUOVANÝ A ZARIADENÝ 1I BYT - Trenčianska ul., 40 M2, výborná lokalita",1 izbový byt,40 m²,186 990 €,2024-07-11_05-24-05
"Švabinského, Bratislava V - Petržalka, okres Bratislava","BA PETRŽALKA - KRÁSNY, ZREKONŠTRUOVANÝ A ZARIADENÝ 4I BYT - ŠVABINSKÉHO UL., 87 M2, LOGGIA, KLIMATIZ",4 izbový byt,"87,32 m²",289 990 €,2024-07-11_05-24-05
"Vilová, Bratislava V - Petržalka, okres Bratislava","NOVÁ CENA: ZĽAVA 5.000€  BA Petržalka - krásny, zrekonštruovaný a zariadený 4i byt - Vilová ul.,  ga",4 izbový byt,86 m²,294 990 €,2024-07-11_05-24-05
"Vyšehradská, Bratislava V - Petržalka, okres Bratislava","NOVÁ CENA: ZĽAVA 8.000€ - BA Petržalka - krásny, zrekonštruovaný a zariadený 4i byt - Vyšehradská, 8",4 izbový byt,"86,92 m²",281 990 €,2024-07-11_05-24-05
"Rozvodná, Bratislava III - Nové Mesto, okres Bratislava","NOVÁ CENA: ZĽAVA 5.000€  BA III - ROZVODNÁ - zrekonštruovaný a zariadený 4i BYT, 75 M2, LOGGIA, klim",4 izbový byt,75 m²,264 990 €,2024-07-11_05-24-05
